"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"AURKA"	1.80913237972447	4.20771093962672	11.5423005749412	2.05272753748552e-28	3.41204371280844e-24	53.6353658820331
"MYBL2"	1.24533655214805	2.59588435419835	11.3253732112152	1.70601553642858e-27	1.41786951232579e-23	51.5605052139038
"TPX2"	1.2652947452302	3.54672128805923	11.1017872969928	1.47000992517084e-26	7.0983709950909e-23	49.4506968040433
"CCNE1"	2.57693093462169	2.85169138798898	11.0860821001245	1.70818697992802e-26	7.0983709950909e-23	49.3036110065709
"PDSS1"	1.68753045305901	1.45516324477824	11.0070021897936	3.63023345272323e-26	1.20683480902331e-22	48.5652338438158
"ORC6L"	1.42474933829441	2.44841866106749	10.8545750021194	1.53591697773391e-25	4.25500200064885e-22	47.1526279339323
"CDCA5"	1.30847439816139	3.1173239220124	10.8376892646275	1.80046828355187e-25	4.27534054417131e-22	46.9970078098429
"UBE2C"	1.0204769553885	2.91977777017355	10.7695189626539	3.41388500675541e-25	7.09319957278606e-22	46.3705163826618
"CCNB2"	1.0038181373278	2.68714422668457	10.7452880546732	4.28267967421451e-25	7.90963350497706e-22	46.1485180622394
"CENPN"	2.38803824290748	2.65773241655096	10.6839188047999	7.59270065348206e-25	1.26205870262179e-21	45.5878830923843
"CENPA"	1.26152312602528	2.8359893373595	10.6087820771086	1.52575207079979e-24	2.3055500837122e-21	44.9046477093623
"KIF4A"	0.888989593235456	3.08197918626309	10.5422942576784	2.82103117414178e-24	3.90759834804872e-21	44.3029877229787
"ECE2"	1.34220155756997	2.32375688058953	10.5213409134914	3.42198767769373e-24	4.37540609066347e-21	44.1139497966645
"CDCA8"	1.29263039657357	3.3956216777741	10.4807054584626	4.97266661541989e-24	5.90397603439353e-21	43.7481278187489
"GINS1"	1.27762391669546	2.9228025671405	10.4676423449411	5.60623840511537e-24	6.21245965132184e-21	43.6307472189457
"TROAP"	1.09084242234692	3.01149293970661	10.432541651891	7.73365816108349e-24	8.03430412209561e-21	43.3158773425498
"DLGAP5"	0.835078737826693	2.55690523208678	10.3564118958785	1.54968385250385e-23	1.51522617625405e-20	42.6356352806617
"AURKB"	1.01383747145404	2.42848931650964	10.3498153906708	1.64559591567236e-23	1.51961640612811e-20	42.5768666968089
"MELK"	0.965515059036022	2.7831358106832	10.3252437796854	2.05761444299379e-23	1.80008775112857e-20	42.3582007752591
"CDC20"	0.999551747028521	2.53775768151791	10.2807500795972	3.08075164193929e-23	2.56041268961574e-20	41.9632257524178
"PLK1"	1.14560158004625	3.24859948160606	10.1825465586978	7.47475766422386e-23	5.91644866165376e-20	41.095953896401
"CEP55"	1.02769685823558	3.01382543678237	10.1332150682571	1.16398608333122e-22	8.72484169864337e-20	40.6626339589255
"CENPW"	2.15797960602417	1.78868825921763	10.129141113537	1.20726362091684e-22	8.72484169864337e-20	40.6269193823667
"BIRC5"	0.866436082061127	2.32130737616529	10.1145911144358	1.37526734600747e-22	9.19234483914052e-20	40.4994537486718
"FAM83D"	1.24488423370677	3.0600461325303	10.1140004315021	1.38255697857365e-22	9.19234483914052e-20	40.4942819563917
"FAM54A"	1.49902099500762	3.38046360896143	10.1029715902329	1.52592298565682e-22	9.75534302599525e-20	40.3977592604245
"FOXM1"	1.12142041809452	2.97463217128512	10.0670619190598	2.10286652504125e-22	1.29458693997169e-19	40.0840311841912
"KIF2C"	0.988728952913379	2.79085022859917	10.0513346008376	2.41933858496871e-22	1.43622306997678e-19	39.9468924213756
"MCM10"	1.24756920548795	2.7092443857438	10.0466764167016	2.52183316304804e-22	1.44544520124774e-19	39.906305038424
"CYBRD1"	-1.9963628732837	-2.27254168846006	-10.033872765421	2.82627370059974e-22	1.5513654387105e-19	39.7948180681868
"C12orf48"	1.5089969280114	2.53052674634573	10.0312384404257	2.89329374323339e-22	1.5513654387105e-19	39.7718931315295
"CCNA2"	1.21261159487142	2.90220398487879	9.96597652159181	5.16316848465396e-22	2.68194332974744e-19	39.2054081240789
"MAD2L1"	1.43722889133194	3.04763476797796	9.89786969700294	9.42122962933066e-22	4.74544481511316e-19	38.6172122395592
"ALG3"	1.72097899385697	2.71159505416667	9.86680008184644	1.2382788237912e-21	5.96754820018126e-19	38.3499000760902
"C16orf61"	1.99464510192191	1.40975032739532	9.86513286579771	1.25655268322912e-21	5.96754820018126e-19	38.3355739847465
"C15orf42"	1.55991980293854	2.37130237881543	9.8616780367329	1.29527538826432e-21	5.98057430659155e-19	38.3058931120609
"ERCC6L"	1.15260900356997	2.96698894959504	9.84343717164063	1.52019944200801e-21	6.82939327704246e-19	38.1493146668558
"KIFC1"	0.945889127202885	2.61952684402479	9.82040632012193	1.86021245462256e-21	8.13696090019373e-19	37.9519346088701
"ANLN"	1.03821985836694	2.9443227324573	9.8136387151471	1.97375330996635e-21	8.41223782519505e-19	37.894001558265
